Cidade,Uf,mes/ano,churn
JABOATAO DOS GUARARAPES,PE,01/10/2022,"11,10%"
SAO JOSE DOS CAMPOS,SP,01/10/2022,"5,78%"
CONTAGEM,MG,01/10/2022,"6,53%"
RIBEIRAO PRETO,SP,01/10/2022,"7,52%"
UBERLANDIA,MG,01/10/2022,"7,18%"
SOROCABA,SP,01/10/2022,"7,05%"
ARACAJU,SE,01/10/2022,"9,13%"
CUIABA,MT,01/10/2022,"9,41%"
FEIRA DE SANTANA,BA,01/10/2022,"9,62%"
JUIZ DE FORA,MG,01/10/2022,"7,67%"
JOINVILLE,SC,01/10/2022,"9,00%"
LONDRINA,PR,01/10/2022,"5,26%"
BELFORD ROXO,RJ,01/10/2022,"13,72%"
ANANINDEUA,PA,01/10/2022,"13,08%"
SAO JOAO DE MERITI,RJ,01/10/2022,"12,28%"
APARECIDA DE GOIANIA,GO,01/10/2022,"12,07%"
NITEROI,RJ,01/10/2022,"7,82%"
CAMPOS DOS GOYTACAZES,RJ,01/10/2022,"8,08%"
CAXIAS DO SUL,RS,01/10/2022,"4,13%"
MAUA,SP,01/10/2022,"8,70%"
FLORIANOPOLIS,SC,01/10/2022,"7,08%"
VILA VELHA,ES,01/10/2022,"9,81%"
SANTOS,SP,01/10/2022,"6,99%"
SAO JOSE DO RIO PRETO,SP,01/10/2022,"6,10%"
PORTO VELHO,RO,01/10/2022,"7,63%"
SERRA,ES,01/10/2022,"9,40%"
DIADEMA,SP,01/10/2022,"8,43%"
OLINDA,PE,01/10/2022,"10,18%"
MACAPA,AP,01/10/2022,"12,55%"
BETIM,MG,01/10/2022,"7,64%"
CAMPINA GRANDE,PB,01/10/2022,"8,35%"
MOGI DAS CRUZES,SP,01/10/2022,"6,83%"
CARAPICUIBA,SP,01/10/2022,"8,41%"
PIRACICABA,SP,01/10/2022,"6,65%"
MONTES CLAROS,MG,01/10/2022,"6,47%"
JUNDIAI,SP,01/10/2022,"6,33%"
MARINGA,PR,01/10/2022,"6,01%"
CARIACICA,ES,01/10/2022,"10,77%"
BAURU,SP,01/10/2022,"5,93%"
ANAPOLIS,GO,01/10/2022,"5,98%"
RIO BRANCO,AC,01/10/2022,"7,95%"
CANOAS,RS,01/10/2022,"8,23%"
SAO VICENTE,SP,01/10/2022,"10,86%"
VITORIA,ES,01/10/2022,"6,63%"
PELOTAS,RS,01/10/2022,"10,43%"
FRANCA,SP,01/10/2022,"6,72%"
ITAQUAQUECETUBA,SP,01/10/2022,"10,83%"
BLUMENAU,SC,01/10/2022,"7,91%"
PONTA GROSSA,PR,01/10/2022,"8,94%"
CARUARU,PE,01/10/2022,"8,37%"
CAUCAIA,CE,01/10/2022,"9,66%"
RIBEIRAO DAS NEVES,MG,01/10/2022,"7,87%"
VITORIA DA CONQUISTA,BA,01/10/2022,"8,38%"
PAULISTA,PE,01/10/2022,"12,04%"
PETROPOLIS,RJ,01/10/2022,"4,70%"
GUARUJA,SP,01/10/2022,"9,32%"
UBERABA,MG,01/10/2022,"6,65%"
PETROLINA,PE,01/10/2022,"8,41%"
BOA VISTA,RR,01/10/2022,"9,27%"
TAUBATE,SP,01/10/2022,"6,97%"
CASCAVEL,PR,01/10/2022,"5,30%"
SANTAREM,PA,01/10/2022,"9,49%"
LIMEIRA,SP,01/10/2022,"6,30%"
SUZANO,SP,01/10/2022,"9,56%"
SAO JOSE DOS PINHAIS,PR,01/10/2022,"7,59%"
PRAIA GRANDE,SP,01/10/2022,"7,98%"
GOVERNADOR VALADARES,MG,01/10/2022,"6,58%"
VOLTA REDONDA,RJ,01/10/2022,"8,48%"
GRAVATAI,RS,01/10/2022,"7,22%"
MOSSORO,RN,01/10/2022,"7,85%"
SANTA MARIA,RS,01/10/2022,"6,51%"
FOZ DO IGUACU,PR,01/10/2022,"6,07%"
VARZEA GRANDE,MT,01/10/2022,"11,36%"
NOVO HAMBURGO,RS,01/10/2022,"5,45%"
IMPERATRIZ,MA,01/10/2022,"10,68%"
JUAZEIRO DO NORTE,CE,01/10/2022,"7,48%"
SUMARE,SP,01/10/2022,"7,79%"
BARUERI,SP,01/10/2022,"7,08%"
IPATINGA,MG,01/10/2022,"6,78%"
CAMACARI,BA,01/10/2022,"11,98%"
VIAMAO,RS,01/10/2022,"10,31%"
EMBU DAS ARTES,SP,01/10/2022,"10,57%"
ITABORAI,RJ,01/10/2022,"7,23%"
TABOAO DA SERRA,SP,01/10/2022,"11,07%"
MAGE,RJ,01/10/2022,"12,82%"
MARABA,PA,01/10/2022,"7,33%"
PALMAS,TO,01/10/2022,"7,93%"
SAO CARLOS,SP,01/10/2022,"6,24%"
COLOMBO,PR,01/10/2022,"9,40%"
ARAPIRACA,AL,01/10/2022,"6,91%"
MARILIA,SP,01/10/2022,"4,84%"
SETE LAGOAS,MG,01/10/2022,"7,94%"
SAO LEOPOLDO,RS,01/10/2022,"8,29%"
DIVINOPOLIS,MG,01/10/2022,"8,12%"
MARACANAU,CE,01/10/2022,"5,80%"
AMERICANA,SP,01/10/2022,"5,85%"
JACAREI,SP,01/10/2022,"8,48%"
ITAPEVI,SP,01/10/2022,"17,74%"
PARNAMIRIM,RN,01/10/2022,"10,47%"
PRESIDENTE PRUDENTE,SP,01/10/2022,"8,03%"
ARARAQUARA,SP,01/10/2022,"5,25%"
MACAE,RJ,01/10/2022,"7,86%"
ITABUNA,BA,01/10/2022,"10,48%"
SAO JOSE,SC,01/10/2022,"6,26%"
SANTA LUZIA,MG,01/10/2022,"10,58%"
INDAIATUBA,SP,01/10/2022,"5,43%"
ALVORADA,RS,01/10/2022,"8,00%"
COTIA,SP,01/10/2022,"7,27%"
JUAZEIRO,BA,01/10/2022,"6,73%"
HORTOLANDIA,SP,01/10/2022,"8,74%"
RIO GRANDE,RS,01/10/2022,"6,64%"
DOURADOS,MS,01/10/2022,"9,78%"
CRICIUMA,SC,01/10/2022,"8,65%"
RONDONOPOLIS,MT,01/10/2022,"7,39%"
CACHOEIRO DE ITAPEMIRIM,ES,01/10/2022,"6,77%"
CABO FRIO,RJ,01/10/2022,"11,44%"
RIO CLARO,SP,01/10/2022,"7,41%"
SOBRAL,CE,01/10/2022,"10,13%"
SANTA BARBARA DOESTE,SP,01/10/2022,"5,00%"
PASSO FUNDO,RS,01/10/2022,"4,78%"
ARACATUBA,SP,01/10/2022,"5,71%"
CHAPECO,SC,01/10/2022,"5,30%"
ITAJAI,SC,01/10/2022,"9,90%"
ILHEUS,BA,01/10/2022,"7,31%"
CABO DE SANTO AGOSTINHO,PE,01/10/2022,"10,55%"
MESQUITA,RJ,01/10/2022,"15,25%"
FERRAZ DE VASCONCELOS,SP,01/10/2022,"7,72%"
NOVA FRIBURGO,RJ,01/10/2022,"6,36%"
BARRA MANSA,RJ,01/10/2022,"10,34%"
LAURO DE FREITAS,BA,01/10/2022,"7,52%"
CASTANHAL,PA,01/10/2022,"9,09%"
RIO VERDE,GO,01/10/2022,"8,85%"
IBIRITE,MG,01/10/2022,"9,15%"
ANGRA DOS REIS,RJ,01/10/2022,"10,33%"
LUZIANIA,GO,01/10/2022,"7,92%"
GUARAPUAVA,PR,01/10/2022,"5,45%"
FRANCISCO MORATO,SP,01/10/2022,"10,39%"
NOSSA SENHORA DO SOCORRO,SE,01/10/2022,"11,40%"
AGUAS LINDAS DE GOIAS,GO,01/10/2022,"12,20%"
CAMARAGIBE,PE,01/10/2022,"10,94%"
TERESOPOLIS,RJ,01/10/2022,"5,98%"
LAGES,SC,01/10/2022,"3,81%"
ITU,SP,01/10/2022,"6,35%"
PARAUAPEBAS,PA,01/10/2022,"7,67%"
POCOS DE CALDAS,MG,01/10/2022,"6,44%"
TIMON,MA,01/10/2022,"11,65%"
NILOPOLIS,RJ,01/10/2022,"11,93%"
JEQUIE,BA,01/10/2022,"10,47%"
CAXIAS,MA,01/10/2022,"12,63%"
SAO JOSE DE RIBAMAR,MA,01/10/2022,"13,33%"
PINDAMONHANGABA,SP,01/10/2022,"9,12%"
BRAGANCA PAULISTA,SP,01/10/2022,"6,95%"
PARNAIBA,PI,01/10/2022,"8,88%"
SAO CAETANO DO SUL,SP,01/10/2022,"5,64%"
QUEIMADOS,RJ,01/10/2022,"14,59%"
ITAPETININGA,SP,01/10/2022,"8,31%"
PARANAGUA,PR,01/10/2022,"10,07%"
JARAGUA DO SUL,SC,01/10/2022,"6,11%"
LINHARES,ES,01/10/2022,"6,61%"
PALHOCA,SC,01/10/2022,"8,52%"
TEIXEIRA DE FREITAS,BA,01/10/2022,"6,27%"
VALPARAISO DE GOIAS,GO,01/10/2022,"11,32%"
PATOS DE MINAS,MG,01/10/2022,"7,76%"
ALAGOINHAS,BA,01/10/2022,"17,80%"
MOGI GUACU,SP,01/10/2022,"8,80%"
ITAPECERICA DA SERRA,SP,01/10/2022,"10,79%"
ABAETETUBA,PA,01/10/2022,"12,50%"
ARAGUAINA,TO,01/10/2022,"9,92%"
TEOFILO OTONI,MG,01/10/2022,"9,13%"
SAPUCAIA DO SUL,RS,01/10/2022,"5,81%"
JAU,SP,01/10/2022,"7,36%"
BARREIRAS,BA,01/10/2022,"7,92%"
POUSO ALEGRE,MG,01/10/2022,"4,72%"
VITORIA DE SANTO ANTAO,PE,01/10/2022,"9,94%"
MARICA,RJ,01/10/2022,"9,49%"
BOTUCATU,SP,01/10/2022,"7,26%"
BARBACENA,MG,01/10/2022,"9,32%"
GARANHUNS,PE,01/10/2022,"7,11%"
ATIBAIA,SP,01/10/2022,"7,65%"
PORTO SEGURO,BA,01/10/2022,"8,71%"
VARGINHA,MG,01/10/2022,"8,15%"
URUGUAIANA,RS,01/10/2022,"5,59%"
APUCARANA,PR,01/10/2022,"5,30%"
CUBATAO,SP,01/10/2022,"11,45%"
SANTA RITA,PB,01/10/2022,"15,79%"
RESENDE,RJ,01/10/2022,"9,67%"
ARAUCARIA,PR,01/10/2022,"8,52%"
ARARAS,SP,01/10/2022,"5,72%"
CRATO,CE,01/10/2022,"8,47%"
PINHAIS,PR,01/10/2022,"11,46%"
CACHOEIRINHA,RS,01/10/2022,"7,07%"
SABARA,MG,01/10/2022,"13,33%"
SANTA CRUZ DO SUL,RS,01/10/2022,"7,34%"
CONSELHEIRO LAFAIETE,MG,01/10/2022,"6,25%"
SIMOES FILHO,BA,01/10/2022,"9,17%"
CAMETA,PA,01/10/2022,"6,25%"
BAGE,RS,01/10/2022,"8,89%"
TOLEDO,PR,01/10/2022,"5,76%"
FRANCO DA ROCHA,SP,01/10/2022,"7,59%"
CATANDUVA,SP,01/10/2022,"7,12%"
VARZEA PAULISTA,SP,01/10/2022,"8,45%"
SANTANA DE PARNAIBA,SP,01/10/2022,"7,12%"
GUARATINGUETA,SP,01/10/2022,"11,45%"
ITAPIPOCA,CE,01/10/2022,"7,25%"
BARRETOS,SP,01/10/2022,"6,54%"
MARITUBA,PA,01/10/2022,"15,52%"
SERTAOZINHO,SP,01/10/2022,"9,21%"
BAYEUX,PB,01/10/2022,"10,29%"
SINOP,MT,01/10/2022,"7,22%"
VOTORANTIM,SP,01/10/2022,"5,99%"
CODO,MA,01/10/2022,"10,34%"
ITAGUAI,RJ,01/10/2022,"11,70%"
JI PARANA,RO,01/10/2022,"10,65%"
MARANGUAPE,CE,01/10/2022,"17,65%"
ITABIRA,MG,01/10/2022,"12,12%"
BIRIGUI,SP,01/10/2022,"5,38%"
ARARUAMA,RJ,01/10/2022,"7,00%"
BRAGANCA,PA,01/10/2022,"10,00%"
CAMPO LARGO,PR,01/10/2022,"4,92%"
PACO DO LUMIAR,MA,01/10/2022,"10,71%"
ARAGUARI,MG,01/10/2022,"5,61%"
SALTO,SP,01/10/2022,"9,78%"
VESPASIANO,MG,01/10/2022,"8,97%"
SAO MATEUS,ES,01/10/2022,"8,59%"
PASSOS,MG,01/10/2022,"5,81%"
VALINHOS,SP,01/10/2022,"3,83%"
TATUI,SP,01/10/2022,"6,60%"
ALMIRANTE TAMANDARE,PR,01/10/2022,"7,94%"
RIO DAS OSTRAS,RJ,01/10/2022,"9,33%"
CORONEL FABRICIANO,MG,01/10/2022,"8,42%"
BRUSQUE,SC,01/10/2022,"10,27%"
COLATINA,ES,01/10/2022,"7,28%"
BENTO GONCALVES,RS,01/10/2022,"6,03%"
TRINDADE,GO,01/10/2022,"8,97%"
RIBEIRAO PIRES,SP,01/10/2022,"11,50%"
ARAPONGAS,PR,01/10/2022,"2,42%"
PAULO AFONSO,BA,01/10/2022,"11,90%"
POA,SP,01/10/2022,"8,93%"
GUARAPARI,ES,01/10/2022,"13,81%"
CARAGUATATUBA,SP,01/10/2022,"6,45%"
OURINHOS,SP,01/10/2022,"9,52%"
BALNEARIO CAMBORIU,SC,01/10/2022,"6,26%"
SANTANA,AP,01/10/2022,"20,45%"
ITATIBA,SP,01/10/2022,"9,05%"
BARCARENA,PA,01/10/2022,"8,93%"
UMUARAMA,PR,01/10/2022,"5,13%"
PATOS,PB,01/10/2022,"10,94%"
MURIAE,MG,01/10/2022,"8,05%"
IGARASSU,PE,01/10/2022,"14,43%"
UBA,MG,01/10/2022,"8,37%"
NOVO GAMA,GO,01/10/2022,"24,44%"
ACAILANDIA,MA,01/10/2022,"5,08%"
TRES LAGOAS,MS,01/10/2022,"6,01%"
EUNAPOLIS,BA,01/10/2022,"7,52%"
FORMOSA,GO,01/10/2022,"8,28%"
CORUMBA,MS,01/10/2022,"14,37%"
SAO LOURENCO DA MATA,PE,01/10/2022,"20,93%"
JAPERI,RJ,01/10/2022,"12,50%"
TUBARAO,SC,01/10/2022,"5,42%"
CAMBE,PR,01/10/2022,"5,67%"
ABREU E LIMA,PE,01/10/2022,"5,63%"
GUAIBA,RS,01/10/2022,"10,32%"
BACABAL,MA,01/10/2022,"16,09%"
ERECHIM,RS,01/10/2022,"12,60%"
PARINTINS,AM,01/10/2022,"5,00%"
ITUIUTABA,MG,01/10/2022,"4,71%"
JANDIRA,SP,01/10/2022,"8,27%"
ASSIS,SP,01/10/2022,"2,21%"
TUCURUI,PA,01/10/2022,"6,25%"
CAIEIRAS,SP,01/10/2022,"9,77%"
ARAXA,MG,01/10/2022,"7,36%"
LAVRAS,MG,01/10/2022,"11,43%"
BARRA DO PIRAI,RJ,01/10/2022,"7,81%"
IGUATU,CE,01/10/2022,"6,56%"
SANTA CRUZ DO CAPIBARIBE,PE,01/10/2022,"4,40%"
ITAPERUNA,RJ,01/10/2022,"6,11%"
ALTAMIRA,PA,01/10/2022,"8,94%"
LEME,SP,01/10/2022,"3,57%"
LAGARTO,SE,01/10/2022,"12,73%"
ITUMBIARA,GO,01/10/2022,"8,72%"
PARAGOMINAS,PA,01/10/2022,"13,64%"
SANTO ANTONIO DE JESUS,BA,01/10/2022,"14,40%"
ITAJUBA,MG,01/10/2022,"7,35%"
ITAITUBA,PA,01/10/2022,"13,04%"
PIRAQUARA,PR,01/10/2022,"10,71%"
ITANHAEM,SP,01/10/2022,"10,09%"
SAO GONCALO DO AMARANTE,RN,01/10/2022,"18,99%"
ITAPEVA,SP,01/10/2022,"6,80%"
CAMPO MOURAO,PR,01/10/2022,"9,13%"
SARANDI,PR,01/10/2022,"9,54%"
SAO PEDRO DA ALDEIA,RJ,01/10/2022,"14,11%"
SENADOR CANEDO,GO,01/10/2022,"9,92%"
ITABAIANA,SE,01/10/2022,"16,28%"
ITAUNA,MG,01/10/2022,"5,38%"
CATALAO,GO,01/10/2022,"4,98%"
ARIQUEMES,RO,01/10/2022,"5,93%"
VOTUPORANGA,SP,01/10/2022,"5,45%"
CACAPAVA,SP,01/10/2022,"6,74%"
JATAI,GO,01/10/2022,"3,06%"
VALENCA,BA,01/10/2022,"16,92%"
MOGI MIRIM,SP,01/10/2022,"8,89%"
SAO JOAO DA BOA VISTA,SP,01/10/2022,"7,79%"
PAULINIA,SP,01/10/2022,"4,93%"
SAO JOAO DEL REI,MG,01/10/2022,"5,92%"
ITACOATIARA,AM,01/10/2022,"16,67%"
LORENA,SP,01/10/2022,"5,47%"
ESTEIO,RS,01/10/2022,"8,38%"
TIMOTEO,MG,01/10/2022,"8,28%"
FAZENDA RIO GRANDE,PR,01/10/2022,"5,51%"
PARA DE MINAS,MG,01/10/2022,"6,02%"
MAIRIPORA,SP,01/10/2022,"11,04%"
CANDEIAS,BA,01/10/2022,"15,00%"
BREVES,PA,01/10/2022,"25,00%"
TANGARA DA SERRA,MT,01/10/2022,"7,26%"
PARANAVAI,PR,01/10/2022,"3,59%"
CARATINGA,MG,01/10/2022,"7,01%"
AVARE,SP,01/10/2022,"6,38%"
CACERES,MT,01/10/2022,"11,11%"
PARACATU,MG,01/10/2022,"7,89%"
SANTANA DO LIVRAMENTO,RS,01/10/2022,"11,11%"
NOVA LIMA,MG,01/10/2022,"8,97%"
CACHOEIRA DO SUL,RS,01/10/2022,"12,82%"
UBATUBA,SP,01/10/2022,"8,41%"
SAO ROQUE,SP,01/10/2022,"11,03%"
ARACRUZ,ES,01/10/2022,"10,59%"
SAO CRISTOVAO,SE,01/10/2022,"9,76%"
PATROCINIO,MG,01/10/2022,"5,93%"
IPOJUCA,PE,01/10/2022,"8,16%"
SEROPEDICA,RJ,01/10/2022,"11,54%"
PLANALTINA,GO,01/10/2022,"3,77%"
CRUZEIRO,SP,01/10/2022,"6,29%"
IJUI,RS,01/10/2022,"12,84%"
TRES RIOS,RJ,01/10/2022,"8,43%"
BARRA DO CORDA,MA,01/10/2022,"33,33%"
MANHUACU,MG,01/10/2022,"6,93%"
MATAO,SP,01/10/2022,"8,21%"
ARUJA,SP,01/10/2022,"8,47%"
SERRA TALHADA,PE,01/10/2022,"11,36%"
GURUPI,TO,01/10/2022,"6,94%"
ARARIPINA,PE,01/10/2022,"14,93%"
FRANCISCO BELTRAO,PR,01/10/2022,"3,19%"
QUIXADA,CE,01/10/2022,"12,00%"
GUANAMBI,BA,01/10/2022,"8,16%"
SAPIRANGA,RS,01/10/2022,"5,80%"
SANTO ANGELO,RS,01/10/2022,"2,75%"
JACOBINA,BA,01/10/2022,"10,00%"
PINHEIRO,MA,01/10/2022,"25,00%"
CARPINA,PE,01/10/2022,"8,33%"
CAMPO LIMPO PAULISTA,SP,01/10/2022,"9,41%"
JOAO MONLEVADE,MG,01/10/2022,"9,04%"
CACOAL,RO,01/10/2022,"9,76%"
BEBEDOURO,SP,01/10/2022,"7,79%"
VILHENA,RO,01/10/2022,"20,83%"
GRAVATA,PE,01/10/2022,"8,70%"
PACATUBA,CE,01/10/2022,"18,18%"
SERRINHA,BA,01/10/2022,"13,98%"
CANINDE,CE,01/10/2022,"18,60%"
LAJEADO,RS,01/10/2022,"6,16%"
SAO BENTO DO SUL,SC,01/10/2022,"7,32%"
ALFENAS,MG,01/10/2022,"9,88%"
GOIANA,PE,01/10/2022,"16,22%"
ALEGRETE,RS,01/10/2022,"14,58%"
NOVA SERRANA,MG,01/10/2022,"5,48%"
PONTA PORA,MS,01/10/2022,"7,34%"
PATO BRANCO,PR,01/10/2022,"11,58%"
VICOSA,MG,01/10/2022,"3,81%"
CRUZEIRO DO SUL,AC,01/10/2022,"12,12%"
SAO SEBASTIAO,SP,01/10/2022,"10,55%"
TRES CORACOES,MG,01/10/2022,"4,35%"
SAQUAREMA,RJ,01/10/2022,"8,96%"
PICOS,PI,01/10/2022,"11,27%"
LINS,SP,01/10/2022,"7,03%"
JABOTICABAL,SP,01/10/2022,"2,80%"
CURVELO,MG,01/10/2022,"6,11%"
REDENCAO,PA,01/10/2022,"11,36%"
TELEMACO BORBA,PR,01/10/2022,"13,64%"
UNAI,MG,01/10/2022,"4,76%"
CACADOR,SC,01/10/2022,"7,46%"
BELO JARDIM,PE,01/10/2022,"5,66%"
SAO FELIX DO XINGU,PA,01/10/2022,"0,00%"
CATAGUASES,MG,01/10/2022,"4,76%"
PIRASSUNUNGA,SP,01/10/2022,"8,57%"
CRATEUS,CE,01/10/2022,"9,41%"
CALDAS NOVAS,GO,01/10/2022,"8,30%"
AQUIRAZ,CE,01/10/2022,"2,47%"
RIO LARGO,AL,01/10/2022,"20,93%"
IBIUNA,SP,01/10/2022,"13,75%"
VALENCA,RJ,01/10/2022,"14,29%"
PALMEIRA DOS INDIOS,AL,01/10/2022,"13,51%"
ARCOVERDE,PE,01/10/2022,"16,67%"
QUIXERAMOBIM,CE,01/10/2022,"0,00%"
CIANORTE,PR,01/10/2022,"4,76%"
OURO PRETO,MG,01/10/2022,"8,55%"
VIANA,ES,01/10/2022,"8,79%"
CAJAMAR,SP,01/10/2022,"6,84%"
CHAPADINHA,MA,01/10/2022,"0,00%"
ARACATI,CE,01/10/2022,"14,04%"
TIANGUA,CE,01/10/2022,"9,23%"
RUSSAS,CE,01/10/2022,"11,88%"
CONCORDIA,SC,01/10/2022,"3,64%"
DIAS DAVILA,BA,01/10/2022,"7,59%"
CASTRO,PR,01/10/2022,"18,03%"
CAMBORIU,SC,01/10/2022,"10,30%"
SANTA ROSA,RS,01/10/2022,"6,67%"
ITAPIRA,SP,01/10/2022,"7,14%"
MOCOCA,SP,01/10/2022,"7,53%"
CEARA MIRIM,RN,01/10/2022,"5,88%"
MACAIBA,RN,01/10/2022,"0,00%"
VINHEDO,SP,01/10/2022,"6,98%"
FERNANDOPOLIS,SP,01/10/2022,"5,16%"
SAO SEBASTIAO DO PARAISO,MG,01/10/2022,"11,86%"
AMPARO,SP,01/10/2022,"3,51%"
FORMIGA,MG,01/10/2022,"8,24%"
CASCAVEL,CE,01/10/2022,"7,58%"
EMBU GUACU,SP,01/10/2022,"6,02%"
SOUSA,PB,01/10/2022,"10,10%"
NAVEGANTES,SC,01/10/2022,"7,14%"
VENANCIO AIRES,RS,01/10/2022,"0,00%"
FARROUPILHA,RS,01/10/2022,"7,02%"
TUPA,SP,01/10/2022,"3,90%"
SORRISO,MT,01/10/2022,"19,15%"
ESTANCIA,SE,01/10/2022,"15,66%"
ICO,CE,01/10/2022,"6,25%"
CAICO,RN,01/10/2022,"8,06%"
CRUZ ALTA,RS,01/10/2022,"3,77%"
CAMAQUA,RS,01/10/2022,"6,52%"
LENCOIS PAULISTA,SP,01/10/2022,"11,59%"
CAPANEMA,PA,01/10/2022,"20,00%"
SANTO ANTONIO DO DESCOBERTO,GO,01/10/2022,"16,05%"
OURICURI,PE,01/10/2022,"28,57%"
ESCADA,PE,01/10/2022,"10,53%"
ITAMARAJU,BA,01/10/2022,"5,88%"
BRUMADO,BA,01/10/2022,"6,67%"
PACAJUS,CE,01/10/2022,"13,04%"
PESQUEIRA,PE,01/10/2022,"5,00%"
VACARIA,RS,01/10/2022,"7,14%"
CONCEICAO DO COITE,BA,01/10/2022,"11,49%"
SAO BORJA,RS,01/10/2022,"13,79%"
RIO DO SUL,SC,01/10/2022,"8,96%"
CRUZ DAS ALMAS,BA,01/10/2022,"13,64%"
ARARANGUA,SC,01/10/2022,"3,74%"
JANUARIA,MG,01/10/2022,"14,55%"
CARAZINHO,RS,01/10/2022,"6,15%"
ITABERABA,BA,01/10/2022,"16,22%"
COSMOPOLIS,SP,01/10/2022,"11,97%"
PENAPOLIS,SP,01/10/2022,"7,32%"
GOIANESIA,GO,01/10/2022,"16,18%"
MORADA NOVA,CE,01/10/2022,"14,81%"
CAMPO BOM,RS,01/10/2022,"7,53%"
PENEDO,AL,01/10/2022,"7,14%"
CAMOCIM,CE,01/10/2022,"17,02%"
BOM JESUS DA LAPA,BA,01/10/2022,"0,00%"
PEDRO LEOPOLDO,MG,01/10/2022,"3,42%"
ROLANDIA,PR,01/10/2022,"5,65%"
BIGUACU,SC,01/10/2022,"11,35%"
UNIAO DOS PALMARES,AL,01/10/2022,"33,33%"
BEZERROS,PE,01/10/2022,"6,78%"
LUIS EDUARDO MAGALHAES,BA,01/10/2022,"4,46%"
PERUIBE,SP,01/10/2022,"7,69%"
MONTENEGRO,RS,01/10/2022,"7,08%"
PALMARES,PE,01/10/2022,"22,22%"
SURUBIM,PE,01/10/2022,"15,38%"
CIDADE OCIDENTAL,GO,01/10/2022,"11,11%"
GASPAR,SC,01/10/2022,"2,44%"
ICARA,SC,01/10/2022,"9,52%"
BATATAIS,SP,01/10/2022,"13,64%"
GRAJAU,MA,01/10/2022,"0,00%"
PONTE NOVA,MG,01/10/2022,"9,72%"
SANTO AMARO,BA,01/10/2022,"16,67%"
HORIZONTE,CE,01/10/2022,"4,35%"
ACARAU,CE,01/10/2022,"28,57%"
MORENO,PE,01/10/2022,"0,00%"
UNIAO DA VITORIA,PR,01/10/2022,"9,52%"
SANTA IZABEL DO PARA,PA,01/10/2022,"0,00%"
LIMOEIRO DO NORTE,CE,01/10/2022,"4,84%"
ANDRADINA,SP,01/10/2022,"4,07%"
BARRA DO GARCAS,MT,01/10/2022,"10,61%"
GUARABIRA,PB,01/10/2022,"11,27%"
MIRASSOL,SP,01/10/2022,"2,73%"
INDAIAL,SC,01/10/2022,"10,08%"
SALGUEIRO,PE,01/10/2022,"10,45%"
TRES PONTAS,MG,01/10/2022,"25,00%"
SAO MIGUEL DOS CAMPOS,AL,01/10/2022,"33,33%"
IRATI,PR,01/10/2022,"11,54%"
RIO BONITO,RJ,01/10/2022,"8,26%"
BARBALHA,CE,01/10/2022,"12,96%"
IBITINGA,SP,01/10/2022,"2,08%"
LAGOA SANTA,MG,01/10/2022,"4,90%"
TAQUARA,RS,01/10/2022,"1,69%"
PIRAPORA,MG,01/10/2022,"5,00%"
TAUA,CE,01/10/2022,"0,00%"
LIMOEIRO,PE,01/10/2022,"7,32%"
CABEDELO,PB,01/10/2022,"6,19%"
REGISTRO,SP,01/10/2022,"0,00%"
TIMBAUBA,PE,01/10/2022,"12,50%"
TAQUARITINGA,SP,01/10/2022,"6,45%"
CACHOEIRAS DE MACACU,RJ,01/10/2022,"7,69%"
CANOINHAS,SC,01/10/2022,"8,00%"
MARIANA,MG,01/10/2022,"6,60%"
PORTO FERREIRA,SP,01/10/2022,"8,64%"
FRUTAL,MG,01/10/2022,"1,75%"
GUAPIMIRIM,RJ,01/10/2022,"10,87%"
SAO BENTO DO UNA,PE,01/10/2022,"0,00%"
CAMPO BELO,MG,01/10/2022,"5,50%"
SAO PAULO,SP,01/11/2022,"7,97%"
RIO DE JANEIRO,RJ,01/11/2022,"9,46%"
SALVADOR,BA,01/11/2022,"9,44%"
BRASILIA,DF,01/11/2022,"6,83%"
FORTALEZA,CE,01/11/2022,"7,84%"
BELO HORIZONTE,MG,01/11/2022,"7,58%"
MANAUS,AM,01/11/2022,"11,80%"
CURITIBA,PR,01/11/2022,"6,58%"
RECIFE,PE,01/11/2022,"8,21%"
BELEM,PA,01/11/2022,"8,79%"
PORTO ALEGRE,RS,01/11/2022,"6,92%"
GOIANIA,GO,01/11/2022,"6,77%"
GUARULHOS,SP,01/11/2022,"9,29%"
CAMPINAS,SP,01/11/2022,"6,73%"
SAO LUIS,MA,01/11/2022,"6,84%"
SAO GONCALO,RJ,01/11/2022,"12,01%"
MACEIO,AL,01/11/2022,"8,20%"
DUQUE DE CAXIAS,RJ,01/11/2022,"11,87%"
NATAL,RN,01/11/2022,"9,30%"
TERESINA,PI,01/11/2022,"7,54%"
NOVA IGUACU,RJ,01/11/2022,"12,55%"
CAMPO GRANDE,MS,01/11/2022,"11,76%"
JOAO PESSOA,PB,01/11/2022,"8,00%"
SAO BERNARDO DO CAMPO,SP,01/11/2022,"6,59%"
OSASCO,SP,01/11/2022,"8,79%"
SANTO ANDRE,SP,01/11/2022,"8,43%"
JABOATAO DOS GUARARAPES,PE,01/11/2022,"8,91%"
SAO JOSE DOS CAMPOS,SP,01/11/2022,"7,25%"
CONTAGEM,MG,01/11/2022,"9,79%"
RIBEIRAO PRETO,SP,01/11/2022,"8,09%"
UBERLANDIA,MG,01/11/2022,"8,21%"
SOROCABA,SP,01/11/2022,"8,42%"
